"datetime","thing_id","value"
2023-08-03 18:14:12.626 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.4
2023-08-03 15:49:13.032 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.82
2023-08-03 15:44:09.434 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.63
2023-08-03 11:20:06.274 +0700,"888f934e-95a2-4973-91be-a81040d1001e",34.61
2023-08-03 08:05:03.688 +0700,"888f934e-95a2-4973-91be-a81040d1001e",35.35
2023-08-15 17:48:13.549 +0700,"888f934e-95a2-4973-91be-a81040d1001e",35.3
2023-08-16 10:24:42.982 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.63
2023-08-16 10:16:05.103 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.6
2023-08-16 10:15:50.176 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.57
2023-08-16 10:09:39.683 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.3
2023-08-16 09:54:40.168 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.3
2023-08-15 21:35:21.609 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.14
2023-08-15 21:35:03.191 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.11
2023-08-15 21:34:37.665 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.07
2023-08-15 16:56:55.959 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",34.61
2023-08-15 16:41:56.491 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",34.79
2023-08-15 16:26:55.571 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",34.9
2023-08-15 16:11:37.403 +0700,"888f934e-95a2-4973-91be-a81040d1001e",36.08
2023-08-15 14:09:47.413 +0700,"888f934e-95a2-4973-91be-a81040d1001e",35.3
2023-08-15 14:09:23.541 +0700,"888f934e-95a2-4973-91be-a81040d1001e",35.1
2023-08-15 14:04:59.361 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.67
2023-08-15 13:35:42.110 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.66
2023-08-15 13:15:31.154 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.01
2023-08-15 13:15:05.585 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",36.02
2023-08-16 15:04:24.960 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",35.68
2023-08-16 15:04:54.745 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",35.68
2023-08-16 15:19:25.059 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",35.78
2023-08-16 15:34:24.461 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",35.59
2023-08-16 15:49:26.786 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",34.98
2023-08-16 16:12:41.424 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.79
2023-08-16 18:20:48.681 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.58
2023-08-16 18:35:48.824 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.36
2023-08-16 18:48:34.931 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.37
2023-08-16 19:03:47.896 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.47
2023-08-16 19:03:51.772 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.51
2023-08-16 19:18:44.712 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.74
2023-08-16 19:48:45.818 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.58
2023-08-16 23:34:13.354 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.73
2023-08-17 06:50:16.265 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.76
2023-08-02 18:21:34.695 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.3
2023-08-02 18:06:31.710 +0700,"888f934e-95a2-4973-91be-a81040d1001e",34.84
2023-08-02 17:47:42.190 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.84
2023-08-02 17:36:32.348 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.82
2023-08-02 17:35:49.440 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.83
2023-08-02 17:35:17.967 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",34.76
2023-08-17 07:05:19.330 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.78
2023-08-17 07:20:14.969 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.78
2023-08-17 07:35:18.455 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",35.79
2023-08-17 10:25:19.623 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",36.0
2023-08-17 17:09:00.791 +0700,"2cea72ff-c106-476f-af23-21c7805d0019",34.62
2023-08-17 17:09:08.946 +0700,"2cea72ff-c106-476f-af23-21c7805d0019",34.66
2023-08-17 17:09:18.459 +0700,"2cea72ff-c106-476f-af23-21c7805d0019",34.66
