"datetime","thing_id","value"
2023-08-15 17:09:11.986 +0700,"888f934e-95a2-4973-91be-a81040d1001e",55.0
2023-08-15 17:22:16.243 +0700,"888f934e-95a2-4973-91be-a81040d1001e",63.0
2023-08-15 17:26:08.401 +0700,"888f934e-95a2-4973-91be-a81040d1001e",66.0
2023-08-15 17:29:34.227 +0700,"888f934e-95a2-4973-91be-a81040d1001e",55.0
2023-08-15 17:33:47.364 +0700,"888f934e-95a2-4973-91be-a81040d1001e",61.0
2023-08-15 17:49:13.441 +0700,"888f934e-95a2-4973-91be-a81040d1001e",74.0
2023-08-16 15:02:23.393 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",75.0
2023-08-16 15:04:21.182 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",67.0
2023-08-16 15:05:22.831 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",75.0
2023-08-16 15:05:22.854 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",71.0
2023-08-16 15:20:23.074 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",79.0
2023-08-16 15:20:23.082 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",94.0
2023-08-16 15:35:22.884 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",86.0
2023-08-16 15:35:23.017 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",107.0
2023-08-16 15:50:22.951 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",72.0
2023-08-16 15:50:24.765 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",64.0
2023-08-16 16:05:23.078 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",83.0
2023-08-16 16:13:14.358 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",70.0
2023-08-16 16:13:14.380 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",83.0
2023-08-16 16:28:38.491 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",69.0
2023-08-16 16:28:38.642 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",82.0
2023-08-16 16:43:38.566 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",79.0
2023-08-16 16:43:38.858 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",100.0
2023-08-16 16:58:38.539 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",80.0
2023-08-16 16:58:38.767 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",75.0
2023-08-16 17:13:38.629 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",87.0
2023-08-16 17:13:38.750 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",85.0
2023-08-16 17:28:38.795 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",94.0
2023-08-16 17:28:38.886 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",89.0
2023-08-16 17:43:38.717 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",90.0
2023-08-16 17:43:39.032 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",98.0
2023-08-16 17:58:39.113 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",84.0
2023-08-16 17:58:39.460 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",78.0
2023-08-16 18:13:39.121 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",117.0
2023-08-16 18:13:39.211 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",88.0
2023-08-16 18:17:18.217 +0700,"0dfab39e-1210-46af-8e30-0fec13a9df83",83.0
2023-08-16 18:17:21.010 +0700,"005fa678-f79e-4c57-a6fa-e1130b993da3",70.0
2023-08-16 18:21:37.936 +0700,"9c91127e-8d7c-4c8e-871c-0ec942cfc4ea",59.0
